FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
rupilisko;Triturus cristatus;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
euroopanmajava;Castor fiber;Vakiintunut;NT (2019);EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin V-liite  EU:n luontodirektiivin II-liite  Suomi saanut varauman koskien tata lajia  EU:n luontodirektiivin IV-liite  Suomi saanut varauman koskien tata lajia  Riistanisakas (Metsastyslaki 1993/615  2019/683)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
pikkulepakko;Pipistrellus nathusii;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin IV-liite  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
itämerennorppa;Pusa hispida botnica;Vakiintunut;NT (2019);EU:n luontodirektiivin II-liite  EU:n luontodirektiivin V-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Riistanisakas (Metsastyslaki 1993/615  2019/683);Phoca hispida botnica Gmelin  1788
saimaannorppa;Pusa hispida saimensis;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n ensisijaisesti suojeltavat lajit (luontodirektiivin II-liite)  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Phoca hispida saimensis (Nordquist  1899)
nahkiainen;Lampetra fluviatilis;Vakiintunut;NT (2019);EU:n luontodirektiivin II-liite  EU:n luontodirektiivin V-liite  EU:n luontodirektiivin II-liite  Suomi saanut varauman koskien tata lajia  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
ankerias;Anguilla anguilla;nan;CR (2019);CITES-sopimus  liite II  EU-lainsaadnto koskien CITES-sopimusta  liite B;
rantanuoliainen;Cobitis taenia;Vakiintunut;NT (2019);EU:n luontodirektiivin II-liite  EU:n luontodirektiivin II-liite  Suomi saanut varauman koskien tata lajia  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Kalalajit  joihin sovelletaan luonnonsuojelulakia (LSA 1997/160  liite 1)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
toutain;Leuciscus aspius;Vakiintunut;NT (2019);EU:n luontodirektiivin II-liite  EU:n luontodirektiivin V-liite  EU:n luontodirektiivin II-liite  Suomi saanut varauman koskien tata lajia;Aspius aspius (Linnaeus  1758)
järvilohi;Salmo salar m. sebago;Vakiintunut;CR (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
Jäämeren lohi;Salmo salar ;Vakiintunut;VU (2019);MX.324994 Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
Itämeren lohi;Salmo salar ;Vakiintunut;VU (2019);MX.324995 Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
taimen;Salmo trutta ;Vakiintunut;NT (2019);MX.325309 Sisavesissa 67ø00' leveyspiirin pohjoispuolella. Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
taimen;Salmo trutta ;Vakiintunut;EN (2019);MX.325310 Sisavesissa 67ø00'n leveyspiirin etelapuolella. Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
harjus;Thymallus thymallus;Vakiintunut;CR (2019);EU:n luontodirektiivin V-liite  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
harjus ;Thymallus thymallus ;Vakiintunut;VU (2019);Sisavesissa 65ø00'n leveyspiirin etelapuolella. Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
made;Lota lota;Vakiintunut;NT (2019);nan;
mustatokko;Gobius niger;Vakiintunut;NT (2019);VANHA Kalalajit  joihin sovelletaan luonnonsuojelulakia (LSA 1997/160  liite 1);
seitsenruototokko;Pomatoschistus flavescens;Vakiintunut;NT (2019);VANHA Kalalajit  joihin sovelletaan luonnonsuojelulakia (LSA 1997/160  liite 1);Gobiusculus flavescens (Fabricius  1779)
kampela;Platichthys flesus sensu lato;Vakiintunut;NT (2019);nan;Platichthys flesus (Linnaeus  1758) sensu lato
vaskikala;Spinachia spinachia;Vakiintunut;NT (2019);VANHA Kalalajit  joihin sovelletaan luonnonsuojelulakia (LSA 1997/160  liite 1);
verijuotikas;Hirudo medicinalis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  EU:n luontodirektiivin V-liite  CITES-sopimus  liite II  EU-lainsaadanto koskien CITES-sopimusta  liite B  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
kääpiötytönkorento;Nehalennia speciosa;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
viherukonkorento;Aeshna viridis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut elainlajit (LSA 2023/1066  liite 1)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin IV-liite  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
lapasukeltajasurviainen;Baetis liebenauae;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
petosurviainen;Raptobaetopus tenellus;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Baetopus tenellus (Albarda  1878)
juovalaakasurviainen;Heptagenia flava;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tummanyhäsurviainen;Habrophlebia fusca;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lovipurosurviainen;Paraleptophlebia werneri;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
viirusuursurviainen;Ephemera lineata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
keltasurviainen;Potamanthus luteus;Vakiintunut;NT (2019);nan;
jokisurviainen;Brachycercus harrisellus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
vantaankorri;Rhabdiopteryx acuminata;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
etelänkoipikorri;Nemoura dubitans;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
jymykorri;Dinocras cephalotes;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Florodelphax leptosoma;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
virtalude;Aphelocheirus aestivalis;Vakiintunut;NT (2019);nan;
nan;Agriotypus armatus;nan;NT (2019);nan;
virtakorento;Osmylus fulvicephalus;nan;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
nan;Haliplus variegatus;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
väripisarsukeltaja;Haliplus varius;Vain vanhoja havaintoja  Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Haliplus obliquus;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
nan;Haliplus fulvicollis;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
puropisarsukeltaja;Haliplus fluviatilis;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Haliplus interjectus;Vakiintunut  Harvinainen;NT (2019);nan;
nan;Laccophilus biguttatus;Vakiintunut  Hyvin harvinainen;NT (2019);nan;Laccophilus strohmi C.G. Thomson  1874
kirjoripesukeltaja;Hydroglyphus hamulatus;Vakiintunut  Harvinainen;NT (2019);nan;
nan;Hygrotus parallelogrammus;Vakiintunut  Hyvin harvinainen;NT (2019);nan;Coelambus parallelogrammus (Ahrens  1812)
nan;Hydroporus discretus;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Hydroporus neuter Fairmaire & LaboulbŠne  1855
nan;Hydroporus pubescens;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Hydroporus puberulus;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Hydroporus levanderi J.R. Sahlberg  1889
nan;Hydroporus gyllenhalii;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Hydroporus notatus;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
suikujuovasukeltaja;Graptodytes bilineatus;Vakiintunut  Vain vanhoja havaintoja  Hyvin harvinainen;CR (2019);nan;
vajeraitasukeltaja;Deronectes latus;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Agabus striolatus;Vakiintunut  Harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
kilpitaitosukeltaja;Agabus clypealis;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
sukastaitosukeltaja;Agabus setulosus;Vakiintunut  Harvinainen;NT (2019);nan;
hämytaitosukeltaja;Agabus infuscatus;Vakiintunut  Hyvin harvinainen;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kaltiotaitosukeltaja;Agabus uliginosus;Vakiintunut  Hyvin harvinainen;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
suomenrantusukeltaja;Rhantus fennicus;Vakiintunut  Hyvin harvinainen;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
pikkukaarisukeltaja;Hydaticus transversalis;Vakiintunut  Hyvin harvinainen;VU (2019);nan;
nan;Helophorus sibiricus;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
nan;Helophorus aequalis;Vakiintunut  Harvinainen;NT (2019);nan;
nan;Helophorus grandis;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
nan;Helophorus minutus;Vakiintunut  Harvinainen;NT (2019);nan;
nan;Helophorus pallidus;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Helophorus laticollis;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
vähärosovesiäinen;Hydrochus crenatus;Vakiintunut  Vain vanhoja havaintoja  Hyvin harvinainen;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Hydrochus carinatus Germar  1824
nan;Berosus spinosus;Vakiintunut  Harvinainen;NT (2019);nan;
nan;Berosus fulvus;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
pyörörutavesiäinen;Anacaena globulus;Vakiintunut  Harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lounerutavesiäinen;Anacaena limbata;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
lähdelaakaripsikka;Acrotrichis lucidula;Vakiintunut  Hyvin harvinainen;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lähdepurolaakanen;Lesteva punctata;Vakiintunut  Hyvin harvinainen;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
nan;Lesteva monticola;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
nan;Haploglossa nidicola;Vakiintunut  Yleinen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
nan;Myllaena brevicornis;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
meriuposkuoriainen;Macroplea pubipennis;Vakiintunut  Hyvin harvinainen;NT (2019);Koko maassa rauhoitetut elainlajit (LSA 2023/1066  liite 1)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
helmaruokokuoriainen;Donacia brevitarsis;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kultaruokokuoriainen;Donacia aureocincta;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
